191;;উপজেলা মৎস্য কর্মকর্তা (চ.দা);0;1;2017-02-05 04:17:18
192;;সহকারী প্রকৌশলী (চ.দা);0;1;2017-02-05 04:17:18
193;;সিনিয়র সহকারী পরিচালক;0;1;2017-02-05 04:17:18
194;;উপপরিচালক (অ.দা);0;1;2017-02-05 04:17:18
195;;হ্যাচারী অফিসার (অ.দা);0;1;2017-02-05 04:17:18
196;;উপপরিচালক (চ,দা);0;1;2017-02-05 04:17:18
197;;সি সহকারী পরিচালক সংযুক্ত- মৎস্য ভবন, ঢাকা;0;1;2017-02-05 04:17:18
198;;সহকারী পরিচালক  সংযুক্ত মৎস্য ভবন ঢাকা;0;1;2017-02-05 04:17:18
200;;উপপরিচালক (চ,দা);0;1;2017-02-05 04:17:18
201;;মৎস্য চাষ প্রকৌশলী (নি.বে);0;1;2017-02-05 04:17:18
202;;সহকারী পরিচালক (নি.বে);0;1;2017-02-05 04:17:18
204;;হ্যাচারী কর্মকর্তা (চ,দা);0;1;2017-02-05 04:17:18
205;;খামার ব্যাবস্থাপক (নি,বে);0;1;2017-02-05 04:17:18
206;;আঞ্চলিক মৎস্য কর্মকর্তা;0;1;2017-02-05 04:17:18
207;;প্রকল্প ব্যাবস্থাপক (নি.বে);0;1;2017-02-05 04:17:18
208;;উর্দ্ধতন বৈজ্ঞানিক কর্মকর্তা (বাস্তবায়ন শাখা);0;1;2017-02-05 04:17:18
209;;জাতীয় প্রকল্প পরিচালক (অ, দা);0;1;2017-02-05 04:17:18
210;;প্রকল্প পরিচালক(অ,দা);0;1;2017-02-05 04:17:18
211;;উপপ্রকল্প পরিচালক;0;1;2017-02-05 04:17:18
216;;জেলা সমন্বয়কারী ;0;1;2017-02-05 04:17:18
218;;পরিচালক (চ.দা);0;1;2017-02-05 04:17:18
219;;লাইব্রেরিয়ান;0;1;2017-02-05 04:17:18
221;;প্রশিক্ষণ কর্মকর্তা (অ.দা);0;1;2017-02-05 04:17:18
222;;প্রশিক্ষক;0;1;2017-02-05 04:17:18
223;;প্রশিক্ষন কর্মকর্তা (নি.বে);0;1;2017-02-05 04:17:18
226;;ট্রেনিং ইন্সট্রাক্টর;0;1;2017-02-05 04:17:18
227;;সহকারী পরিচালক -১;0;1;2017-02-05 04:17:18
228;;সহকারী পরিচালক - ২;0;1;2017-02-05 04:17:18
229;;পরিচালক (প্রশাসন ও অর্থ)(অ.দা);0;1;2017-02-05 04:17:18
230;;মেরিন প্রোডাকশন অফিসার (নি,বে);0;1;2017-02-05 04:17:18
231;;মুখ্য বৈজ্ঞানিক কর্মকর্তা;0;1;2017-02-05 04:17:18
233;;সিষ্টেম এনালিষ্ট;0;1;2017-02-05 04:17:18
235;;উর্দ্ধতন গ্রন্থাগারিক;0;1;2017-02-05 04:17:18
237;;জনসংযোগ কর্মকর্তা;0;1;2017-02-05 04:17:18
243;;মুখ্য বৈজ্ঞানিক কর্মকর্তা (অ.দা);0;1;2017-02-05 04:17:18
248;;উর্দ্ধতন বৈজ্ঞানিক কর্মকর্তা (চ.দা);0;1;2017-02-05 04:17:18
252;;প্রিন্সিপাল;0;1;2017-02-05 04:17:18
253;;প্রধান বৈজ্ঞানিক কর্মকর্তা (নি.বে);0;1;2017-02-05 04:17:18
254;;মেরিন ফিশারিজ অফিসার;0;1;2017-02-05 04:17:18
265;;ব্যাবস্থাপক (অ,দা);0;1;2017-02-05 04:17:18
267;;হ্যাচারী ব্যাবস্থাপক;0;1;2017-02-05 04:17:18
269;;উপ-জাতীয় প্রকল্প পরিচালক;0;1;2017-02-05 04:17:18
271;;উপ-জাতীয় প্রকল্প পরিচালক (অ,দা);0;1;2017-02-05 04:17:18
272;;বায়োকেমিস্ট;0;1;2017-02-05 04:17:18
273;;উপপ্রকল্প পরিচালক ( প্রশাসন ও ক্রয়);0;1;2017-02-05 04:17:18
275;;টেকনোলজিষ্ট;0;1;2017-02-05 04:17:18
276;;উপপ্রকল্প পরিচালক(প্রশিক্ষণ ও সম্প্রসারণ);0;1;2017-02-05 04:17:18
279;;কোয়ালিটি অ্যাসুরেন্স ম্যানেজার (নি.বে);0;1;2017-02-05 04:17:18
280;;উপপ্রকল্প পরিচালক (চট্টগ্রাম);0;1;2017-02-05 04:17:18
281;;ফিশারিজ কোয়ারেন্টাইন অফিসার;0;1;2017-02-05 04:17:18
282;;মাইক্রোবায়োলজিষ্ট (নি.বে);0;1;2017-02-05 04:17:18
285;;বায়োকেমিষ্ট(নি.বে);0;1;2017-02-05 04:17:18
286;;উপপ্রকল্প পরিচালক (রাজশাহী বিভাগ);0;1;2017-02-05 04:17:18
290;;উপপ্রকল্প পরিচালক (খুলনা বিভাগ);0;1;2017-02-05 04:17:18
292;;উপপ্রকল্প পরিচালক(বরিশাল বিভাগ);0;1;2017-02-05 04:17:18
293;;সহকারী পরিচালক, ঢাকা;0;1;2017-02-05 04:17:18
295;;মূল্যায়ন কর্মকর্তা, ঢাকা;0;1;2017-02-05 04:17:18
299;;উপজেলা মৎস্য কর্মকর্তা (রিজার্ভ) সংযুক্ত;0;1;2017-02-05 04:17:18
302;;সহকারী পরিচালক (অ.দা);0;1;2017-02-05 04:17:18
303;;হেল্প লাইন ( ঢাকা, ময়মনসিংহ, রংপুর বিভাগ);0;1;2017-02-05 04:17:18
304;;যুগ্মপ্রধান;0;1;2017-02-05 04:17:18
305;;উপপরিচালক (উপসচিব);0;1;2017-02-05 04:17:18
306;;তথ্য কর্মকর্তা (মৎস্য);0;1;2017-02-05 04:17:18
307;;সহকারী পরিচালক (প্রশিক্ষন শাখা);0;1;2017-02-05 04:17:18
308;;সহকারী পরিচালক (এন এ টি পি);0;1;2017-02-05 04:17:18
309;;পরিচালক;0;1;2017-02-05 04:17:18
310;;(যুগ্ন সচিব), পরিচালক (অর্থ);0;1;2017-02-05 04:17:18
311;;(যুগ্ম সচিব), পরিচালক (ক্রয় ও বিপণন);0;1;2017-02-05 04:17:18
312;;হেল্প লাইন ( বরিশাল, চট্টগ্রাম, সিলেট);0;1;2017-02-05 04:17:18
313;;পরিদর্শক (এফ আই কিউসি দপ্তর ঢাকা-২ সংযুক্ত);0;1;2017-02-05 04:17:18
315;;উপ- প্রধান (আইটি শাখা);0;1;2017-02-05 04:17:18
316;;মৎস্য কর্মকর্তা (ইলিশ);0;1;2017-02-05 04:17:18
317;;কম্পিউটার অপারেটর;0;1;2017-02-05 04:17:18
318;;উপপরিচালক (চ, দা) এফআইকিউসি;0;1;2017-02-05 04:17:18
319;;উপপ্রকল্প পরিচালক (নি, বে);0;1;2017-02-05 04:17:18
320;;সহকারী পরিচালক (সংযুক্ত);0;1;2017-02-05 20:14:53
321;;অ্যাকোয়াকালচারিস্ট;0;1;2017-02-17 19:13:48
322;;উপপ্রকল্প পরিচালক ( রংপুর বিভাগ );0;1;2017-02-18 11:10:43
